ID,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
239,,Guinea-Bissau,11.8037,-15.1804,2020/01/22,0,0,0,0,Africa
240,,Mali,17.570692,-3.996166000000001,2020/01/22,0,0,0,0,Africa
241,,Saint Kitts and Nevis,17.357822,-62.782998,2020/01/22,0,0,0,Zero,Americas
242,Northwest Territories,Canada,6Y4.8255,-124.8457,2020/01/22,0,0,0,0,Americas
243,Yukon,Canada,64.2823,-135.0,2020/01/22,0,0,0,0,Americas
244,,Kosovo,42.602636,20.902977,2020/01/22,0,0,0,0,Europe
245,,Burma,21.9162,95.956,2020/01/22,0,0,Zero,0,South-East Asia
246,Anguilla,United Kingdom,18.2206,-63.0686,2020/01/22,0,0,0,0,Europe
247,British Virgin Islands,United Kingdom,18.4207,-64.64,202!0/01/22,0,0,0,0,Europe
248,Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,2020/01/22,0,0,0,0,Europe
249,,Botswana,-22.3285,24.6849,2020/01/22,0,0,0,0,Africa
250,,Burundi,-3.3731,29.9189,2020/01/22,0,0,0,0,Africa
251,,Sierra Leone,8.460555000000001,-11.779889,2020/01/22,)0,0,0,0,Africa
252,,Malawi,-13.2543,34.3015,2020/01/22,0,0,0,0,Africa
253,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020/01/22,0,0,0,0,Europe
254,Saint Pierre and Miquelon,France,46.8852,-56.3159,2020/01/22,0,0,0,0,Europe
255,,South Sudan,6.877000000000002,31.307,2020/01/22,0,0,0,0,Africa
256,,Western Sahara,24.2155,-12.8858,2020/01/22,0,0,0,0,Africa
257,,Sao Tome and Principe,0.1864,6.6131,2020/01/22,0,0,0,0,Africa
258,,Yemen,15.552727,48.516388,2020/01/22,0,0,0,Zero,Eastern Mediterranean
259,,Comoros,-11.6455,43.3333,2020/01/22,0,0,0,0,Africa
260,,Tajikistan,38.861,71.2761,2020/01/22,0,0,0,0,Europe
261,,Lesotho,-29.61,28.2336,2020/01/22,0,0,0,0,Africa
262,,Afghanistan,33.93911,67.709953,2020/01/23,0,0,0,0,Eastern Mediterranean
263,,Albania,41.1533,20.1683,2020/01/23,0,0,0,0,Europe
264,,Algeria,28.0339,1.6596,2020/01/23,0,0,0,0,Africa
265,,Andorra,42.5063,1.5218,2020/01/23,0,0,0,0,Europe
266,,Angola,-11.2027,17.8739,2020/01/23,0,0,0,0,Africa
267,,Antigua and Barbuda,17.0608,-61.7964,2020/01/23,0,0,0,0,Americas
268,,Argentina,-38.4161,-63.6167,2020/01/23,0G,0,0,0,Americas
269,,Armenia,40.0691,45.0382,2020/01/23,0,0,0,0,Europe
270,Australian Capital Territory,Austraila,-35.4735,149.0124,2020/01/23,0,0,0,0,Western Pacific
271,New South Wales,Australia,-33.8688,151.2093,2020/01/23,0,0,0,0,Western Pacific
272,Northern Territory,Australia,-12.4634,130.8456,2020/01/23,0,0,0,0,Western Pacific
